Name,phone,address,The first reviewers Name,The first reviewers Score,The review text,The page link
McDonald's,+912266000666,"34, SGS Magnum Mall, Moledina Road, Camp Area, Pune",Nikita Khare,Rated 3.0,"Mc Donalds will be Mc Donalds irrespective of any condition but yeah found new offers in this place so I am happy. They give special offers on festive occasions. Overall Experience is good, ambience is average and you can enjoy with friends anywhere and this is one",https://www.zomato.com/pune/mcdonalds-camp-area
McDonald's,+912266000666,"Shop 22, Balewadi High Street, Cummins India Office Complex, Baner, Pune",Vaibhav Gilbile,Rated 4.0,"When you have the right blend of ingredients, there's no need of customise.
I'm always ready for the McDonald's. Whenever I get hungry I think about McDonald's food. It's so tasty.
Last time I was with my friends. We ordered mocha, big spicy chicken wrap, American mud pie, chatpata nan-kabab. Service is very good. There is self service.
Only thing that made me irritate was there's only",https://www.zomato.com/pune/mcdonalds-baner
McDonald's,+912266000666,"Ground Floor, Mariplex Mall, Kalyani Nagar, Pune",Subita Landge,Rated 5.0,"Once a week i visit this outlet.
Ideally visiting since 2008. One of my favourite outlet in pune.
Lovely staff.
spacious Ambience.
Super clean always.
Nice discounts and offers available, and good thing is that the staff tells u abt the discount or the offer u can avail.
Love mcdonalds Kalyani",https://www.zomato.com/pune/mcdonalds-1-kalyani-nagar
McDonald's,+912266000666,"Premier Plaza, Old Mumbai Pune Highway, Chinchwad, Pune",Priyanka Jain,Rated 3.0,"I didn't really like the salsa, so ordered the mexican fries without salsa and added extra cheese.
They can add cheesy fries to thier menu, it will surely sell more!
They truly have a good and polite staff. I was able to order the normal menu, even though the timings allowed only bre",https://www.zomato.com/pune/mcdonalds-chinchwad
McDonald's,+912266000666,"HPCL, KPIT Cummins, Near Krishna Petrol Pump, Phase 2 Road, Hinjawadi, Pune",Archi Choudhary,Rated 4.0,"I always love to have the soft serve of mc d. They have introduced some breakfast options also. The mc masala dosa brioche is nice and a good option to try. But never try the veg rice bowl of mc d. Its so bad, its only having the taste of tomato along with s",https://www.zomato.com/pune/mcdonalds-hinjawadi
McDonald's,+912266000666,"Rainbow Plaza, Near Shivar Garden, Pimple Saudagar, Pune",Sharanye Koushik,Rated 3.0,"Home Delivery review:
Ordered Mc spicy panner burger: good in taste
Pizza puff: okay type, the stuff and coat doesn't go well together.
Mc veggie : on usual scale.
Service : 4",https://www.zomato.com/pune/mcdonalds-pimple-saudagar
McDonald's,+912266000666,"Near City Pride Multiplex, 692 A2A Saluja Chambers, Satara Road, Pune",Foodie Hunk,Rated 3.0,"Burgers on my mind and only one name came to my mind Mc D ... as usual they tasted good.. but as it was take away they were cold...
American Cheese Veg / Non veg - both were good in taste but were cold. I like the combination of sause + cheese +Chicken in this Burgers..
Spicy Paneer- as it was expensive but taste was grt..
Mexican cheesy Fries- dispointed with this .. actually u should drop this item from menu for take away and delivery as they get soa",https://www.zomato.com/pune/mcdonalds-satara-road
McDonald's,+912266000666,"8 -14 Stellar Enclave, DP Road, Aundh, Pune",Neha Nemade,Rated 4.0,"McDonald's is known for its same taste and everytime serving us with the perfect fries !!

Everything remains the same with this outlet too..
Service is good and quick.

This outlet also has Mccafe and every time i have cappuccino there..its just perfect !!

The decor and overall Ambience is good.
Situated at a very hardcore place..no other McDonald's available nearby along with Mccafe..

My all time favourite spot after office to have my ",https://www.zomato.com/pune/mcdonalds-aundh
McDonald's,+912266000666,"Ground Floor, Suyog Plaza, JM Road, Pune",Omkar's Food Diaries,Rated 3.0,Sometimes the location of the any outlet is matter so much because you dont have that much option to hangout. The JM road McD is one of them. Although there are other options are available but still this place is always crowded. In addition to that it's 2 floor place so there is ample of space for sit. So you will definitely get place to sit. Apart from this I don't have to say anything abt food. Because it's already been benchmarked. So if you have problem to sit anywhere McD is there,https://www.zomato.com/pune/mcdonalds-jm-road
Mcdonald's,+912066000666,"1st Floor, West Black, Food Court, Amanora Town Centre, Hadapsar, Pune",Chaitali Wayakule,Rated 2.0,"I have had ordered multiple times from this place it is closest to my house. Mostly delivery is not available from the store. But you only get to know that they are not giving delivery once you have paid for food & waited for half hour.

This store have decent sitting arrangements huge space. You get good service inside the store but can't be said same for delivery. No matter if you order from McDonald's website or from any other websites.

I tried new rice. It said spicy but I doubt their was spice in it. The box had good amount of peas & corn. It was only tomato flavor water neither salt nor spices. It was a bad product",https://www.zomato.com/pune/mcdonalds-1-hadapsar
